pointid,grid_code,Latitude_DD,Longitude_DD
61375,-3879,17.925652209999999,-64.721275340000005
61376,-3890,17.925690280000001,-64.716970099999998
61377,-3888,17.925728260000000,-64.712664860000004
61378,-3883,17.925766140000000,-64.708359599999994
61519,-2340,17.930153369999999,-64.101224779999995
61520,-2352,17.930177709999999,-64.096918279999997
61521,-2381,17.930201969999999,-64.092611779999999
61528,-2395,17.930369060000000,-64.062466079999993
61529,-2308,17.930392550000001,-64.058159520000004
61530,-2065,17.930415940000000,-64.053852960000000
61531,-1751,17.930439239999998,-64.049546390000003
61532,-1524,17.930462439999999,-64.045239809999998
61533,-1366,17.930485550000000,-64.040933229999993
61877,-3963,17.921416229999998,-64.734150860000000
61878,-3947,17.921454570000002,-64.729845760000003
61879,-3927,17.921492820000001,-64.725540649999999
61880,-3924,17.921530980000000,-64.721235519999993
61881,-3939,17.921569040000001,-64.716930390000002
61882,-3926,17.921607009999999,-64.712625239999994
61883,-3916,17.921644879999999,-64.708320079999993
62022,-2435,17.925982059999999,-64.109812070000004
62023,-2362,17.926006600000001,-64.105505690000001
62024,-2302,17.926031030000001,-64.101199300000005
62025,-2297,17.926055370000000,-64.096892900000000
62026,-2310,17.926079619999999,-64.092586499999996
62027,-2332,17.926103770000001,-64.088280089999998
62028,-2361,17.926127829999999,-64.083973670000006
62029,-2365,17.926151789999999,-64.079667250000000
62030,-2349,17.926175650000001,-64.075360820000000
62031,-2339,17.926199420000000,-64.071054380000007
62032,-2336,17.926223090000001,-64.066747939999999
62033,-2309,17.926246670000001,-64.062441489999998
62034,-2183,17.926270160000001,-64.058135030000003
62035,-1913,17.926293540000000,-64.053828569999993
62036,-1631,17.926316839999998,-64.049522100000004
62037,-1425,17.926340029999999,-64.045215630000001
62038,-1237,17.926363139999999,-64.040909139999997
62039,-1087,17.926386140000002,-64.036602660000000
62382,-3975,17.917295020000001,-64.734110759999993
62383,-3971,17.917333360000001,-64.729805760000005
62384,-3957,17.917371599999999,-64.725500740000001
62385,-3953,17.917409750000001,-64.721195719999997
62386,-3967,17.917447800000001,-64.716890680000006
62387,-3958,17.917485760000002,-64.712585640000000
62388,-3944,17.917523620000001,-64.708280579999993
62525,-2438,17.921810399999998,-64.118398940000006
62526,-2431,17.921835120000001,-64.114092670000005
62527,-2413,17.921859739999999,-64.109786389999996
62528,-2359,17.921884270000000,-64.105480110000002
62529,-2302,17.921908699999999,-64.101173820000000
62530,-2274,17.921933030000002,-64.096867529999997
62531,-2263,17.921957270000000,-64.092561219999993
62532,-2264,17.921981420000002,-64.088254910000003
62533,-2273,17.922005469999998,-64.083948599999999
62534,-2273,17.922029420000001,-64.079642269999994
62535,-2265,17.922053280000000,-64.075335940000002
62536,-2262,17.922077040000001,-64.071029609999997
62537,-2260,17.922100709999999,-64.066723260000003
62538,-2216,17.922124279999998,-64.062416909999996
62539,-2059,17.922147760000001,-64.058110560000003
62540,-1808,17.922171140000000,-64.053804189999994
62541,-1588,17.922194430000001,-64.049497819999999
62542,-1398,17.922217620000001,-64.045191450000004
62543,-1170,17.922240720000001,-64.040885059999994
62544,-975,17.922263720000000,-64.036578669999997
62545,-915,17.922286620000001,-64.032272280000001
62887,-3979,17.913173810000000,-64.734070669999994
62888,-3979,17.913212139999999,-64.729765760000006
62889,-3968,17.913250370000000,-64.725460850000005
62890,-3970,17.913288510000001,-64.721155920000001
62891,-3984,17.913326560000002,-64.716850989999998
